iter	Passed	Remaining
0	42	8441
1	82	8157
2	118	7788
3	153	7503
4	190	7443
5	235	7606
6	274	7573
7	314	7544
8	353	7498
9	390	7427
10	435	7490
11	472	7397
12	515	7418
13	561	7458
14	597	7368
15	631	7263
16	666	7178
17	703	7115
18	735	7003
19	770	6930
20	803	6849
21	836	6766
22	874	6728
23	907	6657
24	944	6608
25	975	6530
26	1009	6466
27	1042	6403
28	1071	6317
29	1099	6231
30	1127	6146
31	1153	6054
32	1181	5976
33	1210	5908
34	1237	5835
35	1265	5766
36	1291	5688
37	1317	5616
38	1345	5554
39	1371	5487
40	1401	5435
41	1429	5379
42	1456	5319
43	1485	5266
44	1525	5253
45	1560	5224
46	1595	5192
47	1625	5147
48	1657	5106
49	1686	5058
50	1717	5017
51	1748	4975
52	1780	4937
53	1809	4892
54	1840	4851
55	1867	4801
56	1892	4747
57	1918	4697
58	1959	4682
59	2005	4678
60	2043	4657
61	2080	4630
62	2112	4593
63	2141	4550
64	2171	4509
65	2204	4475
66	2248	4464
67	2280	4427
68	2308	4382
69	2333	4333
70	2358	4285
71	2384	4238
72	2407	4188
73	2434	4145
74	2460	4101
75	2489	4061
76	2513	4015
77	2539	3972
78	2566	3930
79	2592	3888
80	2616	3843
81	2641	3800
82	2665	3757
83	2691	3717
84	2716	3675
85	2742	3634
86	2767	3594
87	2793	3554
88	2816	3513
89	2841	3473
90	2867	3435
91	2893	3396
92	2919	3358
93	2943	3319
94	2969	3281
95	2994	3243
96	3020	3207
97	3045	3169
98	3069	3131
99	3094	3094
100	3119	3057
101	3144	3020
102	3169	2984
103	3197	2951
104	3226	2918
105	3254	2886
106	3282	2852
107	3309	2819
108	3336	2785
109	3369	2757
110	3397	2724
111	3422	2689
112	3446	2653
113	3473	2620
114	3500	2587
115	3528	2555
116	3556	2522
117	3580	2488
118	3604	2453
119	3629	2419
120	3653	2385
121	3679	2352
122	3702	2317
123	3727	2284
124	3751	2251
125	3777	2218
126	3800	2184
127	3825	2151
128	3849	2118
129	3874	2086
130	3898	2053
131	3922	2020
132	3947	1988
133	3971	1956
134	3997	1924
135	4022	1893
136	4047	1861
137	4071	1829
138	4095	1797
139	4122	1766
140	4148	1735
141	4173	1704
142	4198	1673
143	4226	1643
144	4254	1613
145	4284	1584
146	4310	1554
147	4336	1523
148	4360	1492
149	4384	1461
150	4410	1431
151	4435	1400
152	4459	1369
153	4484	1339
154	4513	1310
155	4538	1280
156	4562	1249
157	4588	1219
158	4613	1189
159	4638	1159
160	4660	1129
161	4687	1099
162	4712	1069
163	4736	1039
164	4761	1010
165	4787	980
166	4811	950
167	4838	921
168	4863	892
169	4888	862
170	4914	833
171	4938	803
172	4962	774
173	4988	745
174	5013	716
175	5038	687
176	5062	657
177	5087	628
178	5113	599
179	5138	570
180	5162	541
181	5188	513
182	5211	484
183	5238	455
184	5261	426
185	5286	397
186	5312	369
187	5336	340
188	5357	311
189	5382	283
190	5406	254
191	5431	226
192	5456	197
193	5481	169
194	5510	141
195	5540	113
196	5567	84
197	5595	56
198	5621	28
199	5646	0
